Age,Gender,Years IT / Programming Experience,Occupation,Current Lang & Tech: Android,Current Lang & Tech: Arduino,Current Lang & Tech: AngularJS,Current Lang & Tech: C,Current Lang & Tech: C++,Current Lang & Tech: C++11,Current Lang & Tech: C#,Current Lang & Tech: Cassandra,Current Lang & Tech: CoffeeScript,Current Lang & Tech: Cordova,Current Lang & Tech: Clojure,Current Lang & Tech: Cloud,Current Lang & Tech: Dart,Current Lang & Tech: F#,Current Lang & Tech: Go,Current Lang & Tech: Hadoop,Current Lang & Tech: Haskell,Current Lang & Tech: iOS,Current Lang & Tech: Java,Current Lang & Tech: JavaScript,Current Lang & Tech: LAMP,Current Lang & Tech: Matlab,Current Lang & Tech: MongoDB,Current Lang & Tech: Node.js,Current Lang & Tech: Objective-C,Current Lang & Tech: Perl,Current Lang & Tech: PHP,Current Lang & Tech: Python,Current Lang & Tech: R,Current Lang & Tech: Redis,Current Lang & Tech: Ruby,Current Lang & Tech: Rust,Current Lang & Tech: Salesforce,Current Lang & Tech: Scala,Current Lang & Tech: Sharepoint,Current Lang & Tech: Spark,Current Lang & Tech: SQL,Current Lang & Tech: SQL Server,Current Lang & Tech: Swift,Current Lang & Tech: Visual Basic,Current Lang & Tech: Windows Phone,Current Lang & Tech: Wordpress,Current Lang & Tech: Write-In,Training & Education: No formal training,Training & Education: On the job,Training & Education: Boot camp or night school,Training & Education: Online Class,Training & Education: Mentorship,Training & Education: Industry certification,"Training & Education: Some college, but no CS degree",Training & Education: BS in CS,Training & Education: Masters in CS,Training & Education: PhD in CS,Training & Education: Other,Compensation,Compensation: midpoint,Employment Status,Industry
30-34,Male,2 - 5 years,Back-end web developer,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$40,000 - $60,000",50000,Employed full-time,Finance / Banking
30-34,Male,2 - 5 years,Back-end web developer,,,,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,Scala,,,,,,,,,,No formal training; I'm self-taught,,,"Online class (ie. Coursera, Codecademy, Khan Academy, etc.)",,,,,,,,"$80,000 - $100,000",90000,Employed full-time,Finance / Banking
20-24,Male,2 - 5 years,Back-end web developer,,,,C,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,SQL,,,,,,,,On-the-job training,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$60,000 - $80,000",70000,Employed full-time,Finance / Banking
40-50,Female,11+ years,Back-end web developer,,,,,,,,,,,,,,,,,,,,,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,,,,,,,,,,,Masters Degree in Computer Science (or related field),,,"$100,000 - $120,000",110000,Employed full-time,Finance / Banking
40-50,Male,11+ years,Back-end web developer,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,,,On-the-job training,,,,,Some college coursework in Computer Science (or related field) but no degree,,,,,"$80,000 - $100,000",90000,Employed full-time,Finance / Banking
51-60,Male,11+ years,Back-end web developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruby,,,,,,,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"$60,000 - $80,000",70000,Employed full-time,Finance / Banking
25-29,Male,2 - 5 years,Back-end web developer,,Arduino / Raspberry Pi,,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,Python,,,,,,,,,SQL,,,,,,,No formal training; I'm self-taught,,,,,,,,,,,"$60,000 - $80,000",70000,Employed full-time,Finance / Banking
25-29,Male,2 - 5 years,Back-end web developer,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science (or related field),,,,"$60,000 - $80,000",70000,Employed full-time,Finance / Banking
25-29,Male,2 - 5 years,Back-end web developer,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,,,,,,,,,,Masters Degree in Computer Science (or related field),,,"$80,000 - $100,000",90000,Employed full-time,Finance / Banking
51-60,Male,11+ years,Back-end web developer,,,,,,,,,,,,,,,,,,,Java,,,,,,,,PHP,,,,,,,,,,SQL,,,,,,,,On-the-job training,"Intensive code ""boot-camp"" or night school",,,,,Bachelor of Science in Computer Science (or related field),,,,Rather not say,Rather not say,Freelance / Contractor,Finance / Banking
